feature,importance
dest_is_private,0.3213389
is_external_connection,0.1674416
is_well_known_port,0.15562472
protocol_numeric,0.14114338
potential_dos,0.13968469
bytes_out,0.048116136
is_high_risk_port,0.005774976
bytes_in,0.0039031038
hour_of_day,0.0037160146
dest_ip_hash,0.0037104937
day_of_week,0.0030579455
source_ip_hash,0.002261277
source_is_private,0.0018179317
dest_port,0.0014298195
bytes_ratio,0.0007516959
total_bytes,0.00017997895
traffic_symmetry,4.7273905e-05
is_high_volume,0.0
potential_xss,0.0
potential_sql_injection,0.0
suspicious_user_agent,0.0
has_failed_attempts,0.0
is_download_heavy,0.0
is_upload_heavy,0.0
is_low_volume,0.0
port_category,0.0
is_business_hours,0.0
is_database_port,0.0
is_ssh_port,0.0
is_web_port,0.0
is_high_port,0.0
ip_geolocation_risk,0.0
is_weekend,0.0
dest_is_internal,0.0
source_is_internal,0.0
repeated_connections,0.0
