source_ip,destination_ip,destination_port,protocol,bytes_in,bytes_out,action,timestamp,connection_count,label,request_uri,user_agent
192.168.6.214,192.168.4.11,53,UDP,761,122,ALLOW,2025-09-25T23:15:05.700834Z,4,normal,,
137.187.63.42,192.168.2.73,22,SSH,96,95,ALLOW,2025-09-25T02:42:32.716190Z,20,brute_force,,
18.12.170.59,192.168.2.251,770,TCP,5,35,REJECT,2025-09-24T02:06:04.713227Z,1,port_scan,,
41.179.109.88,192.168.5.121,443,TCP,36,0,ALLOW,2025-09-26T01:53:54.712017Z,197,dos_attack,,
192.168.10.162,192.168.8.218,22,UDP,264,409,ALLOW,2025-09-27T13:31:16.700834Z,4,normal,,
192.168.2.34,192.168.5.145,22,UDP,3006,827,ALLOW,2025-09-23T09:06:41.700834Z,4,normal,,
18.12.170.59,192.168.2.251,460,TCP,4,15,DROP,2025-09-24T02:12:14.713227Z,1,port_scan,,
192.168.6.135,192.168.5.181,80,TCP,2576,408,ALLOW,2025-09-24T16:48:23.700834Z,2,normal,,
41.179.109.88,192.168.5.121,443,TCP,65,0,DROP,2025-09-26T02:07:52.712017Z,99,dos_attack,,
192.168.3.118,192.168.10.27,443,UDP,314,133,ALLOW,2025-09-22T04:55:24.700834Z,4,normal,,
18.12.170.59,192.168.2.251,530,TCP,34,4,REJECT,2025-09-24T02:04:04.713227Z,1,port_scan,,
18.12.170.59,192.168.2.251,570,TCP,43,22,REJECT,2025-09-24T01:53:49.713227Z,1,port_scan,,
192.168.5.112,91.54.172.69,21,TCP,375,44082,ALLOW,2025-09-28T04:00:40.715521Z,1,data_exfiltration,,
192.168.4.85,192.168.9.203,443,TCP,152,146,ALLOW,2025-09-24T21:38:52.700834Z,5,normal,,
192.168.4.85,192.168.10.27,443,TCP,50,46,ALLOW,2025-09-24T06:47:24.700834Z,2,normal,,
192.168.1.140,192.168.1.52,443,TCP,724,339,ALLOW,2025-09-23T22:45:48.700834Z,5,normal,,
41.203.175.109,192.168.5.71,80,HTTP,773,326,DROP,2025-09-27T02:36:42.714579Z,5,sql_injection,/login.php?user=admin' or '1'='1,Python-urllib/3.8
192.168.6.38,192.168.8.216,443,UDP,497,1615,ALLOW,2025-09-22T11:42:10.700834Z,2,normal,,
137.187.63.42,192.168.2.73,22,SSH,129,80,DENY,2025-09-25T01:56:24.716190Z,26,brute_force,,
192.168.5.112,91.54.172.69,21,TCP,408,42118,ALLOW,2025-09-28T03:50:19.715521Z,2,data_exfiltration,,
192.168.5.112,91.54.172.69,21,TCP,326,2827,ALLOW,2025-09-28T07:03:34.715521Z,3,data_exfiltration,,
192.168.9.43,192.168.2.241,80,TCP,4078,109,ALLOW,2025-09-25T09:20:57.700834Z,2,normal,,
192.168.9.52,192.168.4.192,443,TCP,331,422,ALLOW,2025-09-24T06:12:18.700834Z,1,normal,,
137.187.63.42,192.168.2.73,22,SSH,162,42,ALLOW,2025-09-25T02:22:44.716190Z,19,brute_force,,
192.168.4.247,192.168.3.81,443,TCP,942,430,ALLOW,2025-09-22T20:11:11.700834Z,4,normal,,
192.168.4.85,192.168.8.231,53,TCP,806,97,ALLOW,2025-09-24T04:42:39.700834Z,2,normal,,
192.168.4.52,192.168.8.83,443,TCP,319,384,ALLOW,2025-09-28T10:26:04.700834Z,4,normal,,
137.187.63.42,192.168.2.73,22,SSH,94,64,DENY,2025-09-25T02:42:51.716190Z,22,brute_force,,
137.187.63.42,192.168.2.73,22,SSH,153,60,ALLOW,2025-09-25T02:48:09.716190Z,41,brute_force,,
192.168.2.241,192.168.2.232,443,TCP,534,142,ALLOW,2025-09-25T01:50:23.700834Z,5,normal,,
192.168.1.68,192.168.9.165,80,TCP,4958,405,ALLOW,2025-09-24T15:57:33.700834Z,3,normal,,
192.168.9.50,192.168.2.251,22,TCP,374,340,ALLOW,2025-09-28T13:16:47.700834Z,5,normal,,
18.12.170.59,192.168.2.251,640,TCP,45,22,DROP,2025-09-24T02:02:12.713227Z,1,port_scan,,
137.187.63.42,192.168.2.73,22,SSH,145,32,DROP,2025-09-25T02:09:28.716190Z,10,brute_force,,
18.12.170.59,192.168.2.251,380,TCP,14,7,ALLOW,2025-09-24T01:55:10.713227Z,1,port_scan,,
