source_ip_hash,dest_ip_hash,dest_port,protocol_numeric,bytes_in,bytes_out,total_bytes,bytes_ratio,hour_of_day,day_of_week,is_weekend,is_business_hours,source_is_private,dest_is_private,source_is_internal,dest_is_internal,is_external_connection,ip_geolocation_risk,is_well_known_port,is_high_risk_port,is_high_port,is_web_port,is_ssh_port,is_database_port,port_category,is_high_volume,is_low_volume,is_upload_heavy,is_download_heavy,traffic_symmetry,has_failed_attempts,suspicious_user_agent,potential_sql_injection,potential_xss,potential_dos,repeated_connections,label
1388,6349,53,2,761,122,883,0.16031537450722733,23,3,False,False,True,True,True,True,False,2,True,False,False,False,False,False,1,False,False,False,True,0.2763306908267271,False,False,False,False,False,False,normal
827,8396,22,0,96,95,191,0.9895833333333334,2,3,False,False,False,True,False,True,True,1,True,False,False,False,True,False,1,False,False,False,False,0.9947643979057592,False,False,False,False,False,True,brute_force
4464,2181,770,1,5,35,40,7.0,2,2,False,False,False,True,False,True,True,1,False,False,False,False,False,False,1,False,True,True,False,0.25,True,False,False,False,False,False,port_scan
5824,4834,443,1,36,0,36,0.0,1,4,False,False,False,True,False,True,True,1,True,False,False,True,False,False,1,False,True,False,True,0.0,False,False,False,False,True,True,dos_attack
7841,8716,22,2,264,409,673,1.5492424242424243,13,5,True,False,True,True,True,True,False,2,True,False,False,False,True,False,1,False,False,False,False,0.7845468053491828,False,False,False,False,False,False,normal
5489,9345,22,2,3006,827,3833,0.2751164337990685,9,1,False,True,True,True,True,True,False,2,True,False,False,False,True,False,1,False,False,False,True,0.4315157839812157,False,False,False,False,False,False,normal
4464,2181,460,1,4,15,19,3.75,2,2,False,False,False,True,False,True,True,1,False,False,False,False,False,False,1,False,True,True,False,0.42105263157894735,True,False,False,False,False,False,port_scan
7747,8320,80,1,2576,408,2984,0.15838509316770186,16,2,False,True,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.27345844504021444,False,False,False,False,False,False,normal
5824,4834,443,1,65,0,65,0.0,2,4,False,False,False,True,False,True,True,1,True,False,False,True,False,False,1,False,True,False,True,0.0,True,False,False,False,True,True,dos_attack
3203,8894,443,2,314,133,447,0.42356687898089174,4,0,False,False,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.5950782997762863,False,False,False,False,False,False,normal
4464,2181,530,1,34,4,38,0.11764705882352941,2,2,False,False,False,True,False,True,True,1,False,False,False,False,False,False,1,False,True,False,True,0.21052631578947367,True,False,False,False,False,False,port_scan
4464,2181,570,1,43,22,65,0.5116279069767442,1,2,False,False,False,True,False,True,True,1,False,False,False,False,False,False,1,False,True,False,False,0.676923076923077,True,False,False,False,False,False,port_scan
7819,7748,21,1,375,44082,44457,117.552,4,6,True,False,True,False,True,False,True,1,True,False,False,False,False,False,1,True,False,True,False,0.01687023415885014,False,False,False,False,False,False,data_exfiltration
9718,1677,443,1,152,146,298,0.9605263157894737,21,2,False,False,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,False,0.9798657718120806,False,False,False,False,False,False,normal
9718,8894,443,1,50,46,96,0.92,6,2,False,False,True,True,True,True,False,2,True,False,False,True,False,False,1,False,True,False,False,0.9583333333333334,False,False,False,False,False,False,normal
5426,2541,443,1,724,339,1063,0.468232044198895,22,1,False,False,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.6378174976481656,False,False,False,False,False,False,normal
4012,9136,80,4,773,326,1099,0.4217335058214748,2,5,True,False,False,True,False,True,True,1,True,False,False,True,False,False,1,False,False,False,True,0.5932666060054594,True,False,True,False,False,False,sql_injection
8730,1959,443,2,497,1615,2112,3.249496981891348,11,0,False,True,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,True,False,0.47064393939393945,False,False,False,False,False,False,normal
827,8396,22,0,129,80,209,0.6201550387596899,1,3,False,False,False,True,False,True,True,1,True,False,False,False,True,False,1,False,False,False,False,0.7655502392344498,True,False,False,False,False,True,brute_force
7819,7748,21,1,408,42118,42526,103.23039215686275,3,6,True,False,True,False,True,False,True,1,True,False,False,False,False,False,1,True,False,True,False,0.01918826129897,False,False,False,False,False,False,data_exfiltration
7819,7748,21,1,326,2827,3153,8.671779141104295,7,6,True,False,True,False,True,False,True,1,True,False,False,False,False,False,1,False,False,True,False,0.20678718680621633,False,False,False,False,False,False,data_exfiltration
529,4527,80,1,4078,109,4187,0.026728788621873466,9,3,False,True,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.05206591831860519,False,False,False,False,False,False,normal
47,6748,443,1,331,422,753,1.2749244712990937,6,2,False,False,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,False,0.8791500664010624,False,False,False,False,False,False,normal
827,8396,22,0,162,42,204,0.25925925925925924,2,3,False,False,False,True,False,True,True,1,True,False,False,False,True,False,1,False,False,False,True,0.4117647058823529,False,False,False,False,False,True,brute_force
6861,778,443,1,942,430,1372,0.4564755838641189,20,0,False,False,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.6268221574344024,False,False,False,False,False,False,normal
9718,5994,53,1,806,97,903,0.12034739454094293,4,2,False,False,True,True,True,True,False,2,True,False,False,False,False,False,1,False,False,False,True,0.21483942414174972,False,False,False,False,False,False,normal
9336,4844,443,1,319,384,703,1.2037617554858935,10,6,True,False,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,False,0.9075391180654339,False,False,False,False,False,False,normal
827,8396,22,0,94,64,158,0.6808510638297872,2,3,False,False,False,True,False,True,True,1,True,False,False,False,True,False,1,False,False,False,False,0.810126582278481,True,False,False,False,False,True,brute_force
827,8396,22,0,153,60,213,0.39215686274509803,2,3,False,False,False,True,False,True,True,1,True,False,False,False,True,False,1,False,False,False,True,0.5633802816901409,False,False,False,False,False,True,brute_force
4527,1025,443,1,534,142,676,0.26591760299625467,1,3,False,False,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.4201183431952663,False,False,False,False,False,False,normal
670,9557,80,1,4958,405,5363,0.08168616377571601,15,2,False,True,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.1510348685437255,False,False,False,False,False,False,normal
8645,2181,22,1,374,340,714,0.9090909090909091,13,6,True,False,True,True,True,True,False,2,True,False,False,False,True,False,1,False,False,False,False,0.9523809523809523,False,False,False,False,False,False,normal
4464,2181,640,1,45,22,67,0.4888888888888889,2,2,False,False,False,True,False,True,True,1,False,False,False,False,False,False,1,False,True,False,True,0.6567164179104478,True,False,False,False,False,False,port_scan
