source_ip_hash,dest_ip_hash,dest_port,protocol_numeric,bytes_in,bytes_out,total_bytes,bytes_ratio,hour_of_day,day_of_week,is_weekend,is_business_hours,source_is_private,dest_is_private,source_is_internal,dest_is_internal,is_external_connection,ip_geolocation_risk,is_well_known_port,is_high_risk_port,is_high_port,is_web_port,is_ssh_port,is_database_port,port_category,is_high_volume,is_low_volume,is_upload_heavy,is_download_heavy,traffic_symmetry,has_failed_attempts,suspicious_user_agent,potential_sql_injection,potential_xss,potential_dos,repeated_connections,label
8192,8730,80,1,4605,713,5318,0.15483170466883822,17,3,False,True,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.268145919518616,False,False,False,False,False,False,normal
7586,2032,53,1,2408,401,2809,0.1665282392026578,17,2,False,True,True,True,True,True,False,2,True,False,False,False,False,False,1,False,False,False,True,0.28551085795656816,False,False,False,False,False,False,normal
2032,3944,443,2,705,294,999,0.41702127659574467,23,4,False,False,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.5885885885885886,False,False,False,False,False,False,normal
8311,9345,443,1,279,392,671,1.4050179211469533,7,0,False,False,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,False,0.8315946348733234,False,False,False,False,False,False,normal
827,8396,22,0,140,98,238,0.7,2,3,False,False,False,True,False,True,True,1,True,False,False,False,True,False,1,False,False,False,False,0.8235294117647058,False,False,False,False,False,True,brute_force
7129,4834,443,1,895,23,918,0.02569832402234637,22,4,False,False,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.050108932461873645,False,False,False,False,False,False,normal
1920,3944,80,1,3720,162,3882,0.043548387096774194,14,1,False,True,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.08346213292117466,False,False,False,False,False,False,normal
3043,9718,53,1,66,78,144,1.1818181818181819,1,1,False,False,True,True,True,True,False,2,True,False,False,False,False,False,1,False,False,False,False,0.9166666666666666,False,False,False,False,False,False,normal
2032,4834,22,1,411,284,695,0.6909975669099757,21,3,False,False,True,True,True,True,False,2,True,False,False,False,True,False,1,False,False,False,False,0.8172661870503597,False,False,False,False,False,False,normal
8396,6861,80,1,1892,1609,3501,0.8504228329809725,10,4,False,True,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,False,0.9191659525849757,False,False,False,False,False,False,normal
1920,5426,53,1,767,303,1070,0.39504563233376794,22,4,False,False,True,True,True,True,False,2,True,False,False,False,False,False,1,False,False,False,True,0.5663551401869159,False,False,False,False,False,False,normal
827,8396,22,0,113,48,161,0.4247787610619469,2,3,False,False,False,True,False,True,True,1,True,False,False,False,True,False,1,False,False,False,True,0.5962732919254659,True,False,False,False,False,True,brute_force
3087,5994,53,1,895,292,1187,0.32625698324022345,12,6,True,False,True,True,True,True,False,2,True,False,False,False,False,False,1,False,False,False,True,0.49199663016006745,False,False,False,False,False,False,normal
7747,6780,443,2,789,276,1065,0.34980988593155893,13,5,True,False,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.5183098591549296,False,False,False,False,False,False,normal
3087,5489,443,1,785,93,878,0.11847133757961784,1,0,False,False,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.21184510250569477,False,False,False,False,False,False,normal
827,8396,22,0,90,73,163,0.8111111111111111,2,3,False,False,False,True,False,True,True,1,True,False,False,False,True,False,1,False,False,False,False,0.8957055214723927,True,False,False,False,False,True,brute_force
4720,2181,22,1,752,405,1157,0.538563829787234,3,5,True,False,True,True,True,True,False,2,True,False,False,False,True,False,1,False,False,False,False,0.700086430423509,False,False,False,False,False,False,normal
3868,6349,80,1,3050,1691,4741,0.5544262295081968,13,0,False,True,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,False,0.7133516135836322,False,False,False,False,False,False,normal
827,8396,22,0,190,61,251,0.32105263157894737,2,3,False,False,False,True,False,True,True,1,True,False,False,False,True,False,1,False,False,False,True,0.4860557768924303,False,False,False,False,False,True,brute_force
4012,9136,80,4,850,262,1112,0.30823529411764705,3,5,True,False,False,True,False,True,True,1,True,False,False,True,False,False,1,False,False,False,True,0.47122302158273377,False,True,True,False,False,False,sql_injection
827,8396,22,0,94,44,138,0.46808510638297873,2,3,False,False,False,True,False,True,True,1,True,False,False,False,True,False,1,False,False,False,True,0.6376811594202898,False,False,False,False,False,True,brute_force
7596,3203,53,1,752,357,1109,0.4747340425531915,13,5,True,False,True,True,True,True,False,2,True,False,False,False,False,False,1,False,False,False,True,0.6438232642019838,False,False,False,False,False,False,normal
7421,9345,80,1,3695,529,4224,0.14316644113667118,14,0,False,True,True,True,True,True,False,2,True,False,False,True,False,False,1,False,False,False,True,0.25047348484848486,False,False,False,False,False,False,normal
2327,2032,53,1,810,312,1122,0.3851851851851852,20,4,False,False,True,True,True,True,False,2,True,False,False,False,False,False,1,False,False,False,True,0.5561497326203209,False,False,False,False,False,False,normal
